Marks,MathsStudent,ScienceStudent,SocialStudent,ReadingStudent
0,87,103,79,456
1,0,0,0,0
2,110,126,103,0
3,116,0,0,476
4,39,173,149,5
5,205,219,0,0
6,9,7,219,0
7,298,288,2,808
8,338,0,287,7
9,113,386,7,0
10,524,0,384,1334
11,155,536,7,0
12,989,303,533,10
13,634,422,20,1979
14,1034,431,797,103
15,2103,618,95,0
16,507,1460,1124,0
17,2953,73,177,3228
18,2051,2036,1719,0
19,2708,107,208,0
20,4995,2777,2446,4063
21,1032,1501,311,235
22,5806,2043,3017,0
23,2799,1862,432,4804
24,3780,2519,3933,249
25,5848,4598,345,32
26,1126,270,4002,0
27,5076,5119,846,5342
28,2895,296,4406,248
29,3259,5132,959,29
30,2390,2508,4555,5214
31,2750,3296,968,251
32,3463,2078,4578,0
33,1909,3260,914,4887
34,1762,1923,4303,254
35,1324,3026,851,0
36,1622,4215,4153,0
37,2162,273,457,4513
38,1048,3846,4197,244
39,1112,1627,456,0
40,907,2115,3832,4251
41,985,1429,445,219
42,1368,1808,3401,17
43,725,1279,443,3966
44,760,1912,3064,0
45,640,2461,452,206
46,675,1064,2715,18
47,1052,1256,497,3919
48,511,973,2256,262
49,576,1166,563,0
50,481,829,2072,3889
51,593,1042,571,0
52,465,794,1851,228
53,889,900,430,3707
54,480,710,1705,14
55,389,1278,296,250
56,440,841,1624,0
57,399,561,245,3749
58,719,683,1320,6
59,410,537,242,208
60,365,639,1210,3644
61,391,443,188,0
62,345,878,1136,275
63,626,57,193,3607
64,304,839,927,0
65,286,491,189,0
66,307,273,824,264
67,296,453,217,3570
68,521,241,733,0
69,271,397,152,259
70,237,250,582,3292
71,272,491,159,2
72,243,17,549,261
73,383,431,115,3115
74,30,14,444,0
75,370,387,40,1
76,220,218,391,222
77,165,111,58,2716
78,289,164,354,0
79,18,115,43,196
80,280,249,226,2394
81,137,8,38,0
82,136,182,198,0
83,207,12,24,2099
84,27,123,144,0
85,165,77,10,0
86,101,48,106,143
87,78,55,1,1450
88,139,26,76,0
89,14,56,0,0
90,121,0,52,993
91,13,31,0,0
92,87,0,22,0
93,90,15,0,558
94,0,0,10,0
95,53,14,0,0
96,7,5,11,0
97,43,0,0,257
98,14,5,0,0
99,0,0,0,0
100,9,8,0,81
